pid,laddr,raddr,status
2932,192.168.0.10@59561,23.197.50.187@80,CLOSE_WAIT
2932,2601:646:8981:3af0:1ce3:d3eb:558:9e28@55451,2001:559:19:608c::31d@443,CLOSE_WAIT
12584,127.0.0.1@65001,127.0.0.1@55340,ESTABLISHED
12584,127.0.0.1@55340,127.0.0.1@65001,ESTABLISHED
13680,192.168.0.10@59492,203.104.142.52@80,CLOSE_WAIT
13680,192.168.0.10@59486,203.104.142.91@443,CLOSE_WAIT
3128,192.168.0.10@59776,64.4.54.254@443,ESTABLISHED
3128,192.168.0.10@59775,64.4.54.253@443,ESTABLISHED
7828,127.0.0.1@49154,127.0.0.1@55363,ESTABLISHED
5232,192.168.0.10@55334,131.253.34.238@443,ESTABLISHED
4720,192.168.0.10@55259,23.197.96.212@443,CLOSE_WAIT
8568,127.0.0.1@59687,127.0.0.1@59878,ESTABLISHED
8928,127.0.0.1@59878,127.0.0.1@59687,ESTABLISHED
3228,127.0.0.1@55363,127.0.0.1@49154,ESTABLISHED
1488,192.168.0.10@55320,131.253.34.248@443,ESTABLISHED
